3, 352, 240
13, 322, 269
23, 271, 232
33, 265, 204
43, 250, 182
53, 242, 207
63, 236, 235
73, 219, 283
83, 182, 306
93, 168, 293
103, 183, 281
113, 212, 242
123, 242, 198
133, 280, 195
143, 313, 170
153, 360, 126
163, 442, 76
