-253,38,96
-227,39,95
-209,41,94
-192,41,94
-183,43,93
-163,43,92
-150,44,92
-140,46,91
-131,46,91
-118,47,92
-108,47,92
-109,48,91
-106,50,89
-106,51,88
-99,52,86
-99,53,86
-96,54,84
-92,55,83
-89,57,82
-89,58,81
-86,59,81
-86,59,82
-86,59,84
-90,60,86
-81,58,87
-85,59,89
-85,58,90
-80,56,92
-79,55,94
-83,54,95
-78,51,97
-70,53,93
-59,55,88
-51,56,84
-43,59,79
-38,61,75
-38,65,71
-36,68,67
-36,71,65
-38,74,62
-39,79,59
-42,85,54
-53,93,50
-63,101,46
-76,111,43
-85,121,41
-104,132,39
-119,143,39
-139,154,40
-158,164,42
-174,174,44
-194,175,42
-226,161,40
-244,148,40
-283,132,39
-302,117,40
-339,102,42
-376,88,43
-413,75,45
-450,65,48
-492,54,50
-505,48,55
-538,42,60
-561,37,64
-573,33,68
-608,29,74
-616,26,78
-628,22,83
-645,19,87
-678,16,92
-682,14,97
-735,13,100
-803,11,103
-860,10,106
-918,8,110
-982,7,114
-1056,5,117
-1106,5,121
-1183,3,124
-1254,2,128
-1319,1,132
-1323,2,139
-1318,2,146
-1317,3,153
-1309,3,159
-1285,4,167
-1292,4,173
-1263,4,181
-1267,5,187
-1236,5,195
-1213,5,202
-1150,5,203
-1087,5,205
-1056,5,207
-988,5,208
-960,4,210
-900,4,212
-864,4,213
-809,4,215
-782,3,217
-726,3,218
-666,4,221
-605,4,225
-539,4,227
-479,4,231
-409,5,233
-361,5,236
-301,5,239
-259,6,242
-210,6,245
-171,6,248
-150,6,251
-129,6,253
-119,5,257
-104,5,260
-103,4,263
-95,4,265
-98,4,268
-98,3,272
-108,3,275
-123,2,278
-125,3,278
-128,4,278
-138,5,277
-150,6,278
-167,8,278
-173,9,278
-199,10,279
-217,11,279
-244,12,279
-265,13,280
-308,12,280
-348,12,281
-400,11,281
-456,10,281
-511,9,282
-570,8,283
-645,7,283
-712,6,284
-781,6,285
-846,5,287
-880,5,290
-935,4,293
-1001,4,296
-1046,4,299
-1108,4,302
-1164,3,306
-1214,3,309
-1291,3,313
-1360,3,316
-1417,3,320
-1574,3,324
-1733,3,327
-1914,3,331
-2107,3,334
-2335,4,337
-2520,4,341
-2716,4,344
-2858,4,349
-3014,4,352
