128,455
128,458
129,458
134,459
135,460
135,463
137,464
137,466
138,468
143,468
145,467
147,471
150,471
152,472
153,472
156,474
157,474
158,473
158,472
157,472
156,472
155,471
156,474
154,474
153,473
153,473
154,473
155,475
153,474
151,475
150,476
144,475
145,476
147,477
146,476
147,475
146,473
146,472
145,475
143,469
146,468
148,471
148,472
149,472
151,466
151,465
152,465
154,464
154,461
155,461
156,458
158,459
157,459
164,456
168,458
166,458
167,457
169,459
175,457
179,454
182,454
182,451
187,455
187,455
190,453
194,454
194,454
195,455
190,453
191,451
190,452
186,451
187,452
187,453
184,454
184,455
184,452
185,453
185,454
185,454
186,456
188,456
188,456
187,455
187,455
187,458
187,458
188,458
187,459
189,459
188,456
186,458
183,461
181,463
182,461
177,458
176,461
174,461
173,462
173,461
172,462
173,464
168,461
170,462
168,463
169,462
168,464
169,464
171,467
166,467
168,469
166,469
166,472
165,474
164,475
163,472
163,477
160,480
152,480
152,486
146,487
143,492
143,493
143,493
140,495
138,496
134,498
132,499
129,501
128,505
125,506
126,507
123,506
118,509
120,514
118,515
110,518
109,522
105,525
102,526
100,530
100,529
95,535
95,534
94,538
91,538
92,541
89,542
83,544
80,547
74,552
71,558
66,557
65,557
64,559
63,556
63,556
61,555
64,558
64,559
66,561
62,559
66,558
66,557
63,551
65,557
68,556
71,553
67,551
68,553
68,553
69,551
69,549
73,548
75,551
73,552
77,552
74,545
